year,lobbyist_name,agency,agency_address
2017,KERSTEN JOHNSON,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,LAURIE GILL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,TOM STECKEL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,KERSTEN JOHNSON,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,AARON ARNOLD,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,JILL KRUGER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,LAURIE GILL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,TOM STECKEL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,LAURIE GILL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,AARON ARNOLD,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,JILL KRUGER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,TOM STECKEL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,LYNNE VALENTI,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,HEATHER PERRY,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,AARON ARNOLD,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,DARIN SEELEY,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,THOMAS STECKEL,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,DARIN SEELEY,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,JUDY STULKEN,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,DARIN SEELEY,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,JUDY STULKEN,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,JENNIFER MEYER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,DARIN SEELEY,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,ELLEN ZELLER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,JUDY STULKEN,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,JENNIFER MEYER,BUREAU OF HUMAN RESOURCES,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,DARIN SEELEY,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,JENNIFER MEYER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,ANGI KAPPENMAN,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,GREGG ENGLER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,ANITA FUOSS,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,LEAH HAUGAN,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,STEVEN BERG,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,CRAIG AMBACH,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,STACY WATTERS,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2024,MEGAN HOWARD,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,DARIN SEELEY,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,JENNIFER MEYER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,ANGI KAPPENMAN,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,GREGG ENGLER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,STEVEN BERG,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,JESSICA FILLER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,STACY WATTERS,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,JASON KETTWIG,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,LEAH HAUGAN,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,CHANDLER BURLESON,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,CRAIG AMBACH,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,TOM ALBRECHT,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2025,AARON SCHEIBE,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,DARIN SEELEY,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,MALLORI BARNETT,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,JENNIFER MEYER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,PEGGY CANTER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,GREGG ENGLER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,STEVEN BERG,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,JESSICA FILLER,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,STACY WATTERS,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,JASON KETTWIG,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,LEAH HAUGAN,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2026,CRAIG AMBACH,BUREAU OF HUMAN RESOURCES AND ADMINISTRATION,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,BIANCO DOM,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,EDMAN JIM,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,KIEL EMILY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,PETERSON LINDA,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,HAYDEN-MORELAND WAYNE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,NINCEHELSER DENNY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,LARSON DEB,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,PIERCE JEFF,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,ANDERSON JULIE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,EMILY KIEL,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JULIE ANDERSEN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DENNIS NINCEHELSER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,LINDA PETERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,JULIE ANDERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,LINDA PETERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,DENNIS NINCEHELSER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,EMILY KIEL,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,JACEY EDSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,MARCH CICHOS,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,LINDA PETERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2015,DENNIS NINCEHELSER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,JESSICA GEBERT,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,MARK CICHOS,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,KARI STULKEN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,DENNIS NINCEHELSER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,LINDA PETERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2016,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,ADAM EMERSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,KARI STULKEN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2017,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,DAVID ZOLNOWSKY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,KARI STULKEN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2018,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,AMANDA JOST,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2019,DEB LARSON,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,HEATHER PERRY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,AMANDA JOST,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,CHARLI GILL,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2020,NEHA PATEL,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,HEATHER PERRY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,JIM EDMAN,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,AMANDA JOST,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,NEHA PATEL,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2021,JEFF CLINES,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,HEATHER PERRY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,PAT SNOW,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,JEFF PIERCE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,AMANDA JOST,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,TONY RAE,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,WAYNE HAYDEN-MORELAND,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,DEANNE BOOTH,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,JULIE OVERGAARD,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,LARRY ROHRER,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,JEFF CLINES,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2022,MIGUEL PENARANDA,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
2023,HEATHER PERRY,BUREAU OF INFORMATION AND TELECOMMUNICATIONS,"500 EAST CAPITOL AVENUE PIERRE, SD 57501"
